,날짜,온도
5444,20171127,5.95
5445,20171128,8.74
5446,20171129,9.39
5447,20171130,3.65
5448,20171201,1.94
5449,20171202,2.38
5450,20171203,5.85
5451,20171204,3.84
5452,20171205,-0.28
5453,20171206,2.78
5454,20171207,3.75
5455,20171208,0.44
5456,20171209,1.65
5457,20171210,4.84
5458,20171211,0.42
5459,20171212,-3.1
5460,20171213,-2.42
5461,20171214,-1.42
5462,20171215,1.37
5463,20171216,0.39
5464,20171217,-2.31
5465,20171218,1.15
5466,20171219,1.19
5467,20171220,1.45
5468,20171221,2.35
5469,20171222,2.74
5470,20171223,5.42
5471,20171224,6.99
5472,20171225,2.36
5473,20171226,1.45
5474,20171227,-1.3
5475,20171228,0.46
5476,20171229,4.06
5477,20171230,6.01
5478,20171231,4.2
5479,20180101,2.58
5480,20180102,2.1
5481,20180103,0.31
5482,20180104,-0.69
5483,20180105,1.22
5484,20180106,2.47
5485,20180107,2.14
5486,20180108,3.74
5487,20180109,-0.0
5488,20180110,-2.55
5489,20180111,-5.8
5490,20180112,-6.51
5491,20180113,-2.28
5492,20180114,0.95
5493,20180115,5.36
5494,20180116,4.75
5495,20180117,5.86
5496,20180118,5.33
5497,20180119,2.47
5498,20180120,2.64
5499,20180121,3.73
5500,20180122,5.53
5501,20180123,-3.34
5502,20180124,-7.82
5503,20180125,-7.52
5504,20180126,-7.77
5505,20180127,-5.27
5506,20180128,-0.99
5507,20180129,-3.64
5508,20180130,-3.19
5509,20180131,-0.4
5510,20180201,0.21
5511,20180202,-0.95
5512,20180203,-3.2
5513,20180204,-5.79
5514,20180205,-5.72
5515,20180206,-6.49
5516,20180207,-4.4
5517,20180208,-0.68
5518,20180209,3.53
5519,20180210,2.69
5520,20180211,-2.09
5521,20180212,-2.89
5522,20180213,1.17
5523,20180214,5.7
5524,20180215,3.41
5525,20180216,2.5
5526,20180217,1.4
5527,20180218,3.26
5528,20180219,6.21
5529,20180220,4.78
5530,20180221,2.2
5531,20180222,1.98
5532,20180223,5.97
5533,20180224,6.68
5534,20180225,6.7
5535,20180226,5.88
5536,20180227,8.04
5537,20180228,8.44
5538,20180301,3.52
5539,20180302,3.14
5540,20180303,9.34
5541,20180304,14.34
5542,20180305,11.32
5543,20180306,8.87
5544,20180307,7.07
5545,20180308,4.08
5546,20180309,4.61
5547,20180310,5.15
5548,20180311,7.48
5549,20180312,9.99
5550,20180313,13.23
5551,20180314,16.36
5552,20180315,14.75
5553,20180316,8.28
5554,20180317,8.6
5555,20180318,9.17
5556,20180319,12.07
5557,20180320,8.36
5558,20180321,2.2
5559,20180322,5.64
5560,20180323,6.8
5561,20180324,9.35
5562,20180325,11.84
5563,20180326,12.83
5564,20180327,14.44
5565,20180328,15.51
5566,20180329,17.15
5567,20180330,16.7
5568,20180331,16.85
5569,20180401,17.8
5570,20180402,18.9
5571,20180403,19.81
5572,20180404,16.46
5573,20180405,12.45
5574,20180406,9.65
5575,20180407,5.16
5576,20180408,8.82
5577,20180409,13.95
5578,20180410,16.99
5579,20180411,17.07
5580,20180412,13.57
5581,20180413,14.6
5582,20180414,11.64
5583,20180415,10.17
5584,20180416,11.27
5585,20180417,14.1
5586,20180418,13.76
5587,20180419,14.92
5588,20180420,18.9
5589,20180421,19.75
5590,20180422,19.53
5591,20180423,15.55
5592,20180424,14.21
5593,20180425,15.94
5594,20180426,15.93
5595,20180427,16.1
5596,20180428,17.75
5597,20180429,17.63
5598,20180430,19.58
5599,20180501,19.78
5600,20180502,16.9
5601,20180503,12.47
5602,20180504,14.68
5603,20180505,18.05
5604,20180506,17.44
5605,20180507,18.55
5606,20180508,18.1
5607,20180509,16.8
5608,20180510,17.01
5609,20180511,17.56
5610,20180512,18.21
5611,20180513,18.66
5612,20180514,20.55
5613,20180515,23.61
5614,20180516,24.55
5615,20180517,24.53
5616,20180518,21.12
5617,20180519,18.56
5618,20180520,18.34
5619,20180521,18.19
5620,20180522,19.56
5621,20180523,19.32
5622,20180524,19.27
5623,20180525,20.8
5624,20180526,22.23
5625,20180527,21.57
5626,20180528,21.68
5627,20180529,23.4
5628,20180530,21.92
5629,20180531,20.25
5630,20180601,23.49
5631,20180602,24.88
5632,20180603,24.18
5633,20180604,23.13
5634,20180605,22.22
5635,20180606,23.68
5636,20180607,24.73
5637,20180608,22.39
5638,20180609,23.4
5639,20180610,22.17
5640,20180611,20.56
5641,20180612,21.43
5642,20180613,22.51
5643,20180614,22.75
