"행정구역별","산업별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"경기","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",9486,10392,11004,11710,12943,13161,13348,13708,14535,15159,17042
"경기","공공행정, 국방 및 사회보장 행정(84)",1709,1716,1715,1720,1732,1802,1828,1842,1863,1880,1855
"경기","교육 서비스업(85)",36736,37911,38531,39029,39822,40225,42039,43757,45488,46798,46727
"경기","보건업 및 사회복지 서비스업(86~87)",24385,26088,28379,29716,31330,30385,32897,33888,34409,35199,35101
"경기","예술, 스포츠 및 여가관련 서비스업(90~91)",22107,22799,23010,22962,23059,22357,24999,27508,28561,29701,29827
"경기","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",72936,75208,77479,78419,78835,78529,80776,83602,86538,88855,91332
"강원","전체 산업",118266,121273,125192,129403,133314,133517,136452,140058,143475,146815,150422
"강원","농업, 임업 및 어업(01~03)",140,167,161,201,258,262,285,312,346,368,509
"강원","광업(05~08)",125,130,137,149,165,166,171,170,171,181,167
"강원","제조업(10~34)",6560,6717,6977,7332,8007,8107,8232,8346,8584,8889,8988
"강원","전기, 가스, 증기 및 공기조절 공급업(35)",69,75,79,84,94,97,107,124,153,231,335
"강원","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",349,365,391,415,460,459,464,463,482,508,511
"강원","건설업(41~42)",4367,4670,4943,5490,6048,6143,6450,6641,7089,7516,8036
"강원","도매 및 소매업(45~47)",28992,29482,30597,31453,32348,32959,32930,33095,33339,33705,34461
"강원","운수 및 창고업(49~52)",9420,9992,9663,10179,10404,9988,10186,10610,10695,10996,11426
"강원","숙박 및 음식점업(55~56)",33446,34020,34910,35684,36263,36090,36978,38126,39186,39817,41066
"강원","정보통신업(58~63)",586,605,635,659,690,700,729,783,786,808,859
"강원","금융 및 보험업(64~66)",1469,1503,1530,1563,1549,1546,1561,1591,1598,1552,1555
"강원","부동산업(68)",2478,2586,2658,2632,2813,2872,3168,3426,3636,3795,3874
"강원","전문, 과학 및 기술 서비스업(70~73)",1748,1834,2044,2209,2345,2381,2457,2590,2755,2963,3098
"강원","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1679,1811,2005,2184,2356,2401,2458,2551,2695,2839,2908
"강원","공공행정, 국방 및 사회보장 행정(84)",796,792,788,792,788,788,796,798,799,796,779
"강원","교육 서비스업(85)",5577,5591,5676,5816,5810,5754,5879,5973,6112,6205,6160
"강원","보건업 및 사회복지 서비스업(86~87)",3342,3517,3857,4068,4264,4241,4484,4571,4610,4728,4730
"강원","예술, 스포츠 및 여가관련 서비스업(90~91)",3610,3708,3840,3961,4060,3968,4280,4576,4691,4810,4663
"강원","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",13513,13708,14301,14532,14592,14595,14837,15312,15748,16108,16297
"충북","전체 산업",105756,109256,112649,115610,119498,121493,124834,126224,129920,133522,138598
"충북","농업, 임업 및 어업(01~03)",112,129,135,156,172,187,231,265,291,311,386
"충북","광업(05~08)",69,70,75,83,94,91,92,94,87,86,84
"충북","제조업(10~34)",9539,9959,10337,11135,12118,12698,12905,13190,13786,14273,14648
"충북","전기, 가스, 증기 및 공기조절 공급업(35)",37,39,47,49,53,54,58,73,87,101,176
"충북","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",310,339,373,406,452,439,441,438,450,482,503
"충북","건설업(41~42)",3864,4105,4239,4696,5027,5258,5257,5220,5378,5594,6124
"충북","도매 및 소매업(45~47)",26342,27161,28427,28978,29836,30626,30512,30663,30969,31524,32431
"충북","운수 및 창고업(49~52)",10039,10179,10342,10417,10522,10361,11580,10959,11596,11790,12437
"충북","숙박 및 음식점업(55~56)",22327,23115,23959,24451,25076,25492,26377,26856,27909,28650,30415
"충북","정보통신업(58~63)",497,528,551,557,554,562,570,587,609,660,700
"충북","금융 및 보험업(64~66)",1260,1280,1303,1278,1264,1249,1224,1260,1251,1258,1266
"충북","부동산업(68)",2981,3176,2788,2842,3104,3062,3337,3496,3631,3766,3977
"충북","전문, 과학 및 기술 서비스업(70~73)",1700,1814,1903,1999,2133,2231,2289,2312,2512,2688,2874
"충북","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1558,1725,1850,2010,2175,2218,2236,2342,2414,2631,2744
"충북","공공행정, 국방 및 사회보장 행정(84)",545,535,533,538,559,563,568,566,556,557,550
"충북","교육 서비스업(85)",5341,5364,5410,5389,5375,5362,5399,5449,5462,5541,5522
"충북","보건업 및 사회복지 서비스업(86~87)",3345,3507,3764,3913,4153,4173,4448,4578,4614,4778,4754
"충북","예술, 스포츠 및 여가관련 서비스업(90~91)",3384,3513,3551,3585,3585,3598,3916,4178,4262,4426,4356
"충북","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",12506,12718,13062,13128,13246,13269,13394,13698,14056,14406,14651
"충남","전체 산업",134315,140505,141209,145995,154034,158306,161608,166247,172242,176643,184103
"충남","농업, 임업 및 어업(01~03)",231,240,230,244,306,330,391,434,474,512,671
"충남","광업(05~08)",104,108,112,115,121,101,105,104,91,95,84
"충남","제조업(10~34)",12693,13417,13505,14258,15792,16610,17150,17694,18422,19050,19478
"충남","전기, 가스, 증기 및 공기조절 공급업(35)",75,83,79,79,82,100,113,113,145,176,310
"충남","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",326,357,368,425,477,497,509,517,543,619,631
"충남","건설업(41~42)",4292,4863,5050,5420,6027,6315,6447,6559,6939,7218,7791
"충남","도매 및 소매업(45~47)",35120,36447,36491,37739,39893,41285,41086,41638,42449,43064,44714
"충남","운수 및 창고업(49~52)",11106,11734,11784,12209,12660,13027,13348,13688,14688,14975,16127
"충남","숙박 및 음식점업(55~56)",29535,30527,30757,31553,32836,33690,34582,35593,36804,37500,39653
"충남","정보통신업(58~63)",544,590,626,669,767,764,770,791,839,892,964
"충남","금융 및 보험업(64~66)",1608,1653,1632,1626,1651,1627,1667,1666,1670,1658,1649
"충남","부동산업(68)",3763,4016,3864,3987,4279,4300,4612,4929,5197,5411,5712
"충남","전문, 과학 및 기술 서비스업(70~73)",1933,2072,2168,2329,2644,2786,2900,2946,3215,3492,3748
"충남","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1703,2022,2160,2353,2590,2743,2772,2882,2965,3250,3488
